IDRSSD,date,Financial Institution Name,Institution Name ,defaulter,Failure / Assistance ,total_assets,company ratio 1,company ratio 2,company ratio 3,company ratio 4,company ratio 5,MEV 1,MEV 2,default_within_1Y,Failure,num_records,non_defaulter,const
3302451,6/30/2008,CITIZENS COMMUNITY BANK,CITIZENS COMMUNITY BANK,1,FAILURE,46405,-0.874223543,-1.544660706,-1.544660706,-2.135630896,-0.059602921,0.155788351,-0.253926893,1,1,16,0,1
3465244,12/31/2008,HILLCREST BANK FLORIDA,HILLCREST BANK FLORIDA,1,FAILURE,104563,-0.275136066,-5.056611372,-5.056611372,-1.712661955,-1.940652908,1.08276285,-1.928282436,1,1,12,0,1
404747,6/30/2002,"BANK ONE, KENTUCKY, NATIONAL ASSOCIATION",,0,,5746516,2.67948118,-0.139628037,-0.139628037,-1.738676771,0.407986051,1.268157749,-0.119978449,0,,8,1,1
455534,3/31/2003,LASALLE BANK NATIONAL ASSOCIATION,,0,,60497246,4.415429805,0.00897992,0.00897992,-0.775191065,0.418328023,0.433880701,0.951609098,0,,30,1,1
2534086,12/31/2010,DECATUR FIRST BANK,DECATUR FIRST BANK,1,FAILURE,197785,0.194904631,-1.446423191,-1.446423191,-0.963687995,-1.035378809,0.89736795,0.348841103,1,1,42,0,1
1397190,6/30/2007,FIRST NATIONAL BANK OF ARIZONA,,0,,2797030,2.148494488,-1.071264663,-1.071264663,1.219916105,-0.081268464,-1.976252995,0.482789546,0,,28,1,1
968605,3/31/2008,BANK OF TOKYO-MITSUBISHI UFJ TRUST COMPANY,,0,,4303451,2.466229407,-0.383039831,-0.383039831,-1.028293472,-0.018572236,0.155788351,-0.253926893,0,,43,1,1
621432,3/31/2008,HERITAGE COMMUNITY BANK,HERITAGE COMMUNITY BANK,1,FAILURE,296625,0.493782352,-0.533171279,-0.533171279,-0.387320995,-0.29520635,0.155788351,-0.253926893,1,1,31,0,1
3130999,12/31/2010,COMMUNITY CAPITAL BANK,COMMUNITY CAPITAL BANK,1,FAILURE,192001,0.173017261,-4.345727036,-4.345727036,-1.053356376,-0.629466719,0.89736795,0.348841103,1,1,36,0,1
2729604,12/31/2013,NORTHERN STAR BANK,NORTHERN STAR BANK,1,FAILURE,20709,-1.469222828,-1.154507182,-1.154507182,0.459774882,-1.781741572,0.341183251,1.487402872,1,1,54,0,1
3102530,3/31/2008,PINNACLE BANK,PINNACLE BANK,1,FAILURE,91861,-0.370644929,-0.267764246,-0.267764246,-0.552568523,0.475118791,0.155788351,-0.253926893,1,1,24,0,1
888002,9/30/2014,MIDDLESEX SAVINGS BANK,,0,,4213655,2.450679038,-0.01189476,-0.01189476,-0.809455926,0.142870498,0.155788351,0.482789546,0,,60,1,1
3357899,9/30/2013,EASTSIDE COMMERCIAL BANK,EASTSIDE COMMERCIAL BANK,1,FAILURE,179518,0.123442445,-0.228018687,-0.228018687,-1.018268511,-0.024737183,0.341183251,1.42042865,1,1,34,0,1
818625,12/31/2002,FARMERS AND MERCHANTS BANK & TRUST,,0,,811448,1.235911336,0.085719628,0.085719628,0.032272899,-0.282083609,0.433880701,0.951609098,0,,30,1,1
499239,3/31/2008,FIRSTCITY BANK,FIRSTCITY BANK,1,FAILURE,255043,0.382401193,-1.426665309,-1.426665309,-2.235961029,-0.313676842,0.155788351,-0.253926893,1,1,31,0,1
3172038,9/30/2008,SECURITY BANK OF GWINNETT COUNTY,SECURITY BANK OF GWINNETT COUNTY,1,FAILURE,362778,0.642246528,-2.700197593,-2.700197593,-2.970277444,-0.441010493,0.248485801,-2.86592154,1,1,25,0,1
850036,6/30/2007,FIRST AMERICAN BANK,,0,,2597036,2.093785399,0.032822406,0.032822406,-0.160891296,0.404422331,-1.976252995,0.482789546,0,,60,1,1
124773,6/30/2010,SUMMIT BANK,SUMMIT BANK,1,FAILURE,156856,0.023926233,-2.790301097,-2.790301097,0.571375872,0.028498053,1.08276285,1.01858332,1,1,40,0,1
1917301,9/30/2007,LAKE FOREST BANK & TRUST COMPANY,,0,,1403628,1.640027739,0.446801199,0.446801199,-0.237634884,-0.505425186,-1.698160646,0.214892659,0,,60,1,1
671576,3/31/2014,DORAL BANK,DORAL BANK,1,FAILURE,7823487,2.907009968,-0.819533485,-0.819533485,-0.532997287,-0.456406633,0.341183251,1.487402872,1,1,55,0,1
506922,6/30/2013,SANDY SPRING BANK,,0,,4069572,2.425021402,0.17321652,0.17321652,-0.484285892,0.213873018,-0.400396348,-0.387875336,0,,60,1,1
